var_id	tag	cdx_name	array	notes
0x022A	HCL	HumidifierPlateCurrent	g2	0..3500 step 1
0x022B	PPC		g2	0..3750 step 1
0x022C	PPS		g2	0..60000 step 1
0x022D	PVD	DataVersionIdentifier	g2	1..999 step 1
0x022E	PDD		g2	-2147483647..2147483647 step 1
0x022F	PAH		g2	0..240 step 0.1
0x0230	PAS		g2	0..240 step 0.1
0x0231	PAV		g2	0..30 step 0.125
0x0232	PCI		g2	0..240 step 0.1
0x0233	PPE		g2	0..30 step 0.2
0x0234	PIS		g2	0..10 step 1
0x0235	PPI		g2	0..50 step 0.2
0x0236	PIE		g2	0..200 step 1
0x0237	PL7		g2	0..3 step 0.02
0x0238	PL9		g2	0..3 step 0.02
0x0239	PMT		g2	0..30 step 0.125
0x023A	PVT		g2	0..30 step 0.125
0x023B	POS		g2	0..240 step 0.1
0x023C	PRR		g2	0..90 step 1
0x023D	PVC		g2	0..100 step 1
0x023E	PVS		g2	0..100 step 1
0x023F	PST		g2	0..2147483647 step 1
0x0240	PSS		g2	0..1440 step 1
0x0241	PAT		g2	0..4 step 1
0x0242	APX		g2	-2147483647..2147483647 step 1
0x0243	LP3		g2	0..100 step 1
0x0244	LP2		g2	0..100 step 1
0x0245	LP1		g2	0..100 step 1
0x0246	LP0		g2	0..100 step 1
0x0247	LP5		g2	0..100 step 1
0x0248	LP6		g2	0..100 step 1
0x0249	PSP		g2	0..25 step 1; modes=Spont,ST,Timed,VAuto,ASV,ASVAuto,iVAPS,PAC
0x024A	LP4		g2	0..100 step 1
0x024B	PID		g2	0..2147483647 step 1
0x024C	ZRC	RemainingRampTime	g2	0..45 step 1
0x024D	ZR5	RemainingRampTime-50hz	g2	0..45 step 1
0x024E	RDD	RemainingRampDownTime	g2	INACT; 0..45 step 1
0x024F	SRT	RampDownTime	g2	INACT; -2147483647..2147483647 step 5
0x0250	RMT	RampTime	g2	5..45 step 5; modes=CPAP,AutoSet,HerAuto,Spont,ST,Timed,VAuto,ASV,ASVAuto,iVAPS,PAC
0x0251	RAL	RawAmbLight	g2	0..85000 step 1
0x0252	LKR		g2	-1..4 step 0.02
0x0253	NOS		g2	0..4095 step 1
0x0254	RQT		g2	0..2147483647 step 1
0x0255	RET		g2	0..2147483647 step 1
0x0256	RCR		g2	0..100 step 1
0x0257	RTR		g2	0..100 step 1
0x0258	RID	RegionIdentifier	g2	0..99 step 1
0x0259	MDF		g2	0..2147483647 step 1
0x025A	MDM		g2	0..2147483647 step 1
0x025B	MDT		g2	0..2147483647 step 1
0x025C	MDW		g2	0..2147483647 step 1
0x025D	FUC		g2	0..2147483647 step 1
0x025E	MUC		g2	0..2147483647 step 1
0x025F	TUC		g2	0..2147483647 step 1
0x0260	WUC		g2	0..2147483647 step 1
0x0261	RCF		g2	0..2147483647 step 1
0x0262	RCM		g2	0..2147483647 step 1
0x0263	RCT		g2	0..2147483647 step 1
0x0264	RCH		g2	0..2147483647 step 1
0x0265	RTF	ReminderFilterDate	g2	0..2147483647 step 1
0x0266	RTM	ReminderMaskDate	g2	0..2147483647 step 1
